# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	25055
#@/user_id	c10b546d-9061-4101-80d7-81e8dd66747f
a 	啊	c=107 d=7.79577 t=25055
han shan hua 	韩善花	c=1 d=9.21517e-10 t=25055
han shu 	函数	c=90 d=2.00539 t=25055
han shu shi 	函数式	c=5 d=2.29669e-22 t=25055
han shu zhong 	函数中	c=1 d=5.45128e-10 t=25055
han wo 	喊我	c=1 d=0.895834 t=25055
han wo 	酣卧	c=1 d=0.891366 t=25055
han ya 	寒鸦	c=1 d=0.860708 t=25055
han you 	含有	c=11 d=0.0944202 t=25055
han zai 	含在	c=1 d=9.30273e-33 t=25055
han zi 	汉字	c=3 d=3.06364e-15 t=25055
hang 	行	c=22 d=2.88831e-05 t=25055
hang lie shi 	行列式	c=1 d=0.0340475 t=25055
hang shu 	行数	c=2 d=9.41093e-22 t=25055
hao 	号	c=12 d=2.67106 t=25055
hao 	好	c=36 d=2.573 t=25055
hao 	耗	c=0 d=6.34427e-31 t=25055
hao ba 	好吧	c=1 d=0.778801 t=25055
hao ban fa 	好办法	c=1 d=1.04852e-28 t=25055
hao bu hao 	好不好	c=0 d=4.95456e-34 t=25055
hao bu hao shi 	好不好使	c=1 d=4.97939e-33 t=25055
hao chu 	好处	c=0 d=1.16806e-05 t=25055
hao da 	好搭	c=1 d=1 t=25055
hao dian 	好点	c=2 d=3.57737e-25 t=25055
hao duo 	好多	c=2 d=0.343009 t=25055
hao duo dai ma 	好多代码	c=1 d=8.29947e-14 t=25055
hao ei 	好诶	c=1 d=5.67665e-16 t=25055
hao fei wu 	好废物	c=1 d=4.35132e-35 t=25055
hao gan du 	好感度	c=1 d=0.194952 t=25055
hao gao 	好高	c=1 d=0.463013 t=25055
hao gao xiao 	好搞笑	c=1 d=6.84793e-17 t=25055
hao hao 	好好	c=3 d=1.1246e-12 t=25055
hao hao hao 	好好好	c=10 d=0.981865 t=25055
hao hao hao hao 	好好好好	c=2 d=0.207008 t=25055
hao hao xue 	好好学	c=1 d=2.65893e-05 t=25055
hao hao xue xi 	好好学习	c=2 d=0.00522135 t=25055
hao ji 	好急	c=1 d=1.63032e-15 t=25055
hao ji bian 	好几遍	c=1 d=0.000221519 t=25055
hao ji tiao 	好几条	c=1 d=2.41246e-37 t=25055
hao jin 	耗尽	c=1 d=0.97531 t=25055
hao jiu 	好久	c=2 d=0.715338 t=25055
hao kan 	好看	c=8 d=1.91598 t=25055
hao kan na 	好看那	c=4 d=0.937067 t=25055
hao kong jian 	耗空间	c=1 d=6.37608e-30 t=25055
hao lan 	好烂	c=2 d=1.15482e-17 t=25055
hao le 	好了	c=1 d=9.58604e-33 t=25055
hao li jie 	好理解	c=1 d=0.88692 t=25055
hao pai 	好牌	c=1 d=3.88535e-26 t=25055
hao peng you 	好朋友	c=1 d=4.79245e-24 t=25055
hao qi lai 	好起来	c=1 d=0.826959 t=25055
hao re 	好热	c=1 d=4.58874e-13 t=25055
hao ri zi 	好日子	c=1 d=3.21193e-22 t=25055
hao shi 	耗时	c=1 d=0.606531 t=25055
hao shuai 	好帅	c=1 d=0.960789 t=25055
hao si 	好似	c=1 d=1.00004 t=25055
hao ting 	好听	c=1 d=0.900325 t=25055
hao wan 	好玩	c=3 d=1 t=25055
hao wu 	好恶	c=1 d=0.229925 t=25055
hao xiang 	好像	c=21 d=2.36517 t=25055
hao xue xiao 	好学校	c=1 d=0.637628 t=25055
hao ya xing 	好雅兴	c=1 d=1.72813e-24 t=25055
hao yan zhuang yu 	豪言壮语	c=1 d=0.474734 t=25055
hao yong 	好用	c=3 d=1.5404 t=25055
hao you 	好友	c=1 d=0.621885 t=25055
he 	合	c=0 d=9.6827e-05 t=25055
he 	和	c=172 d=5.51873 t=25055
he cheng 	合成	c=3 d=2.90232e-06 t=25055
he duo 	喝多	c=1 d=4.27256e-26 t=25055
he fa 	合法	c=3 d=6.6079e-09 t=25055
he gen yuan 	和根源	c=1 d=0.900325 t=25055
he li 	合理	c=5 d=2.26137 t=25055
he qi 	和气	c=1 d=0.621885 t=25055
he shi 	合适	c=1 d=2.11801e-35 t=25055
he tang 	喝汤	c=1 d=7.27015e-15 t=25055
he wo 	和我	c=1 d=0.847894 t=25055
he xin 	核心	c=4 d=5.54522e-05 t=25055
hei 	黑	c=2 d=6.77309e-27 t=25055
hei hei 	嘿嘿	c=1 d=0.344728 t=25055
hei hua 	黑化	c=1 d=0.341298 t=25055
hei hua 	黑话	c=1 d=0.339596 t=25055
hei ren 	黑人	c=1 d=0.0352602 t=25055
hei se 	黑色	c=2 d=0.946485 t=25055
hei ta 	黑塔	c=2 d=0.000710653 t=25055
hei ti 	黑体	c=4 d=1.28526 t=25055
hei tian e 	黑天鹅	c=2 d=0.681252 t=25055
hen 	很	c=31 d=2.34436 t=25055
hen 	恨	c=1 d=8.83398e-13 t=25055
hen 	狠	c=6 d=1.13088 t=25055
hen bu cuo 	很不错	c=2 d=1.35993 t=25055
hen bu hao 	很不好	c=1 d=4.58157e-24 t=25055
hen cha 	很差	c=1 d=6.39714e-10 t=25055
hen chou xiang 	很抽象	c=2 d=0.203926 t=25055
hen chu ming 	很出名	c=1 d=9.66427e-11 t=25055
hen da 	很大	c=2 d=0.99005 t=25055
hen di 	很低	c=1 d=0.0182243 t=25055
hen dian 	很典	c=1 d=0.100761 t=25055
hen duo 	很多	c=34 d=2.27033 t=25055
hen duo chang 	很多厂	c=1 d=1.77738e-31 t=25055
hen duo ci 	很多次	c=1 d=4.67413e-24 t=25055
hen duo ren 	很多人	c=1 d=0.767206 t=25055
hen duo shi hou 	很多时候	c=1 d=0.38868 t=25055
hen duo zhong 	很多种	c=1 d=1.52798e-17 t=25055
hen fan 	很烦	c=0 d=0.00837432 t=25055
hen fan gan 	很反感	c=1 d=0.053397 t=25055
hen fan suo 	很烦所	c=1 d=0.084163 t=25055
hen fang de kai 	很放得开	c=1 d=0.65377 t=25055
hen gao 	很高	c=1 d=0.45612 t=25055
hen guai 	很怪	c=2 d=1.4439 t=25055
hen hao 	很好	c=7 d=1.45381 t=25055
hen hao kan 	很好看	c=2 d=0.404542 t=25055
hen hao xiao 	很好笑	c=1 d=0.00301245 t=25055
hen hen 	狠狠	c=8 d=2.02915 t=25055
hen hen shua 	狠狠刷	c=1 d=1 t=25055
hen huai 	很坏	c=1 d=0.433874 t=25055
hen hui 	很会	c=1 d=4.93924e-26 t=25055
hen hun luan 	很混乱	c=1 d=2.22093e-05 t=25055
hen jiu 	很久	c=1 d=6.67999e-19 t=25055
hen kuai 	很快	c=2 d=0.66034 t=25055
hen li 	狠戾	c=0 d=1.03918e-12 t=25055
hen li hai 	很厉害	c=1 d=1.44793e-31 t=25055
hen li pu 	狠戾普	c=1 d=1.04439e-11 t=25055
hen luan 	很乱	c=1 d=2.34563e-30 t=25055
hen ma fan 	很麻烦	c=2 d=3.35701e-33 t=25055
hen man 	很慢	c=2 d=0.271173 t=25055
hen miao 	很妙	c=1 d=2.72616e-34 t=25055
hen nan 	很难	c=1 d=1.23045e-28 t=25055
hen nan beng 	很难绷	c=1 d=0.479505 t=25055
hen ni tian 	很逆天	c=1 d=0.425283 t=25055
hen pa 	很怕	c=1 d=1.12765e-31 t=25055
hen piao liang 	很漂亮	c=1 d=0.265803 t=25055
hen qing song 	很轻松	c=1 d=8.18565e-28 t=25055
hen rong yi 	很容易	c=2 d=0.000164106 t=25055
hen shen qi 	很神奇	c=1 d=0.67032 t=25055
hen shu fu 	很舒服	c=2 d=0.895834 t=25055
hen shuai 	很帅	c=1 d=5.97481e-30 t=25055
hen wei xian 	很危险	c=1 d=0.554327 t=25055
hen xi huan 	很喜欢	c=5 d=1.25433 t=25055
hen xiang 	很想	c=0 d=0.0499074 t=25055
hen xiang ti 	很想提	c=1 d=0.501576 t=25055
hen xin 	很新	c=1 d=0.895834 t=25055
hen you 	很有	c=1 d=0.436049 t=25055
hen you wen hua 	很有文化	c=1 d=0.278037 t=25055
hen you ya 	很优雅	c=1 d=0.904837 t=25055
hen you yi si 	很有意思	c=1 d=1.95118e-11 t=25055
hen zhen dui 	很针对	c=1 d=0.423162 t=25055
hen zhong yao 	很重要	c=2 d=1.42334e-31 t=25055
heng 	横	c=1 d=6.30619e-18 t=25055
hong 	弘	c=1 d=0.932394 t=25055
hong 	红	c=1 d=4.24835e-18 t=25055
hong lou meng 	红楼梦	c=1 d=0.995012 t=25055
hong se 	红色	c=3 d=1.30127 t=25055
hong shu 	红叔	c=1 d=4.01895e-12 t=25055
hong wen 	红温	c=1 d=4.1228e-18 t=25055
hou 	后	c=6 d=0.524663 t=25055
hou ban duan 	后半段	c=1 d=3.90416e-24 t=25055
hou bu 	候补	c=9 d=6.54697 t=25055
hou duan 	后端	c=2 d=2.07738e-36 t=25055
hou guo 	后果	c=1 d=4.91712e-32 t=25055
hou lai 	后来	c=10 d=0.831744 t=25055
hou lai cai 	后来才	c=1 d=0.000534061 t=25055
hou mian 	后面	c=26 d=0.920308 t=25055
hou qi 	后期	c=1 d=0.375311 t=25055
hou shou 	后手	c=0 d=0.0548812 t=25055
hou xu 	后续	c=1 d=2.0608e-07 t=25055
hou xuan 	候选	c=0 d=0.083527 t=25055
hou xuan kuang 	候选框	c=1 d=0.839457 t=25055
hou xuan zi 	候选字	c=1 d=1.63282e-33 t=25055
hou zhi 	后置	c=1 d=6.5195e-27 t=25055
hou zhui 	后缀	c=1 d=0.970446 t=25055
hu 	忽	c=1 d=0.280832 t=25055
hu 	胡	c=1 d=2.81798e-12 t=25055
hu bei ren 	湖北人	c=1 d=1.55371e-37 t=25055
hu chu 	呼出	c=1 d=0.697676 t=25055
hu dong 	互动	c=2 d=0.26054 t=25055
hu huan 	互换	c=1 d=1.15939e-34 t=25055
hu huan 	呼唤	c=3 d=0.774916 t=25055
hu ran 	忽然	c=1 d=0.0152222 t=25055
hu ran jue de 	忽然觉得	c=1 d=1.51881e-05 t=25055
hu xiang 	互相	c=4 d=2.17876e-23 t=25055
hua 	化	c=1 d=0.310367 t=25055
hua 	画	c=2 d=0.774916 t=25055
hua 	花	c=1 d=0.722527 t=25055
hua 	话	c=9 d=1.22563 t=25055
hua chong qu 	话冲去	c=1 d=0.290835 t=25055
hua chu lai 	画出来	c=1 d=0.56836 t=25055
hua dong 	华东	c=1 d=0.818731 t=25055
hua dong 	滑动	c=4 d=3.07464 t=25055
hua fen 	划分	c=2 d=1.4701 t=25055
hua feng 	画风	c=2 d=8.65843e-24 t=25055
hua huo 	花火	c=7 d=2.73711 t=25055
hua mian 	画面	c=3 d=9.17075e-24 t=25055
hua shuo 	话说	c=1 d=5.42207e-35 t=25055
hua ti 	话题	c=4 d=0.167776 t=25055
hua tong 	话筒	c=0 d=0.0442639 t=25055
hua wei 	华为	c=5 d=4.02407e-15 t=25055
hua xian 	划线	c=1 d=1.82746e-05 t=25055
hua yi 	华裔	c=1 d=0.647265 t=25055
hua zhuang 	化妆	c=1 d=0.379083 t=25055
hua zi 	华子	c=1 d=0.205975 t=25055
huai 	坏	c=3 d=1.66618 t=25055
huai hua 	坏话	c=1 d=0.210136 t=25055
huai le 	坏了	c=2 d=1.07658 t=25055
huai yi 	怀疑	c=3 d=1.34818 t=25055
huan 	换	c=5 d=0.0256661 t=25055
huan cheng 	换成	c=2 d=0.0413782 t=25055
huan chong qu 	缓冲区	c=3 d=1.15039 t=25055
huan ge 	换个	c=1 d=5.85968e-07 t=25055
huan guo lai 	缓过来	c=0 d=1.51643e-17 t=25055
huan hang 	换航	c=1 d=0.548812 t=25055
huan hang 	换行	c=1 d=0.551563 t=25055
huan hang fu hao 	换行符号	c=3 d=3.29267e-22 t=25055
huan jiao cai 	换教材	c=1 d=3.12294e-15 t=25055
huan jie 	环节	c=1 d=0.806541 t=25055
huan jie 	缓解	c=1 d=0.810584 t=25055
huan jing 	环境	c=13 d=2.45718 t=25055
huan ju hua shuo 	换句话说	c=1 d=0.000157671 t=25055
huan lao po 	换老婆	c=1 d=0.257947 t=25055
huan le 	换了	c=1 d=7.03707e-14 t=25055
huan le 	欢乐	c=1 d=7.00197e-14 t=25055
huan man 	缓慢	c=1 d=0.204948 t=25055
huan qi 	唤起	c=1 d=0.657047 t=25055
huan qiu 	环球	c=1 d=1.21362e-13 t=25055
huan qiu wang 	环球网	c=1 d=0.38868 t=25055
huan shi 	幻视	c=1 d=8.63964e-16 t=25055
huan shou ji 	换手机	c=1 d=1.48767e-26 t=25055
huan yi ge 	换一个	c=1 d=1.26749e-24 t=25055
huan ying 	欢迎	c=3 d=1.99078 t=25055
huang 	黄	c=1 d=0.319819 t=25055
huang le 	慌了	c=1 d=0.102797 t=25055
huang miu 	荒谬	c=1 d=2.21016e-36 t=25055
huang quan 	黄泉	c=2 d=1.8429 t=25055
huang se 	黄色	c=2 d=0.807792 t=25055
huang tai 	皇台	c=1 d=6.27153e-12 t=25055
hui 	会	c=48 d=2.00256 t=25055
hui 	回	c=3 d=0.442639 t=25055
hui bei 	会被	c=1 d=1.08794e-21 t=25055
hui bian 	会变	c=1 d=8.78693e-09 t=25055
hui bian 	汇编	c=3 d=8.77964e-08 t=25055
hui bian cheng 	会变成	c=1 d=4.2068e-20 t=25055
hui bu hui 	会不会	c=1 d=0.680451 t=25055
hui bu hui you 	会不会有	c=1 d=9.58115e-27 t=25055
hui bu qu 	回不去	c=1 d=3.20418e-23 t=25055
hui chou 	会抽	c=1 d=0.355226 t=25055
hui chu xian 	会出现	c=3 d=3.31493e-11 t=25055
hui da 	回答	c=4 d=0.226502 t=25055
hui dao 	回到	c=1 d=3.1272e-31 t=25055
hui dao zhi 	会导致	c=1 d=0.873716 t=25055
hui fu 	回复	c=4 d=1.66997 t=25055
hui fu 	恢复	c=2 d=0.970446 t=25055
hui gu 	回顾	c=1 d=0.00398587 t=25055
hui hao 	会好	c=0 d=0.0444858 t=25055
hui hao kan 	会好看	c=1 d=0.447088 t=25055
hui he 	回合	c=2 d=1.7509 t=25055
hui he zhi 	回合制	c=1 d=0.543351 t=25055
hui huang 	辉煌	c=1 d=3.8408e-08 t=25055
hui huo 	挥霍	c=0 d=0.0771052 t=25055
hui huo bu xi ai 	挥霍不喜爱	c=1 d=0.774916 t=25055
hui kan 	回看	c=1 d=3.05268e-12 t=25055
hui lai 	回来	c=7 d=0.454398 t=25055
hui ma 	回马	c=1 d=0.000347412 t=25055
hui mie 	毁灭	c=3 d=0.00131283 t=25055
hui na ge 	会那个	c=1 d=3.38765e-31 t=25055
hui qu 	回去	c=2 d=2.96095e-06 t=25055
hui rang 	会让	c=0 d=5.46353e-08 t=25055
hui rang wo 	会让我	c=1 d=5.49092e-07 t=25055
hui shi 	会是	c=5 d=2.55146e-19 t=25055
hui shi 	回事	c=1 d=0.242926 t=25055
hui shuo 	会说	c=1 d=2.86651e-07 t=25055
hui tou 	回头	c=0 d=2.94158e-18 t=25055
hui wan 	会玩	c=1 d=0.726149 t=25055
hui wen 	回文	c=1 d=1.44395e-28 t=25055
hui wen chuan 	回文串	c=1 d=1.31967e-28 t=25055
hui wen shu 	回文数	c=4 d=5.71787e-29 t=25055
hui xiang 	回响	c=6 d=0.0491865 t=25055
hui xiang 	回想	c=1 d=0.565525 t=25055
hui xue xi 	会学习	c=1 d=0.778801 t=25055
hui xue xiao 	回学校	c=1 d=2.76642e-30 t=25055
hui yi ge 	会一个	c=1 d=1.69069e-31 t=25055
hui yi qi 	回忆起	c=0 d=1.75062e-30 t=25055
hui yi qi lai 	回忆起来	c=1 d=1.75939e-29 t=25055
hui ying 	回应	c=1 d=0.000397625 t=25055
hui you 	会有	c=7 d=1.23514 t=25055
hui you yi ci 	会有一次	c=1 d=5.10822e-10 t=25055
hun 	昏	c=1 d=0.70822 t=25055
hun 	混	c=3 d=7.00027e-13 t=25055
hun da 	混搭	c=1 d=0.000893825 t=25055
hun jin qu 	混进去	c=3 d=1.55087e-13 t=25055
hun le 	昏了	c=1 d=0.83527 t=25055
hun luan 	混乱	c=2 d=2.20985e-06 t=25055
hun xiao 	混淆	c=2 d=0.366045 t=25055
hun yong 	混用	c=7 d=0.951847 t=25055
hun zai yi qi 	混在一起	c=1 d=6.45353e-25 t=25055
huo 	或	c=1 d=6.66048e-14 t=25055
huo 	活	c=4 d=0.951229 t=25055
huo 	火	c=1 d=0.00565622 t=25055
huo 	货	c=0 d=0.0618783 t=25055
huo de 	获得	c=5 d=0.00711891 t=25055
huo dong 	活动	c=1 d=1.90956e-22 t=25055
huo huo 	藿藿	c=1 d=0.701173 t=25055
huo jin 	霍金	c=1 d=6.57718e-13 t=25055
huo qu 	获取	c=6 d=2.19486e-17 t=25055
huo xi 	火系	c=1 d=0.951229 t=25055
huo xu 	或许	c=1 d=0.582748 t=25055
huo ying 	火影	c=3 d=1.06886 t=25055
huo zhe 	或者	c=18 d=0.650509 t=25055
huo zhe shi 	或者是	c=3 d=0.712397 t=25055
huo zhe shuo 	或者说	c=5 d=0.725275 t=25055
ji 	几	c=0 d=0.0909373 t=25055
ji 	即	c=2 d=0.996526 t=25055
ji 	吉	c=3 d=4.6726e-36 t=25055
ji 	寄	c=7 d=1.13422 t=25055
ji 	机	c=1 d=0.421052 t=25055
ji ben 	基本	c=1 d=0.980199 t=25055
ji ben shang 	基本上	c=5 d=0.895834 t=25055
ji ben xing 	基本形	c=1 d=2.33997e-31 t=25055
ji bu de 	记不得	c=1 d=0.97531 t=25055
ji bu qing 	记不清	c=1 d=0.0328764 t=25055
ji cheng 	继承	c=4 d=8.42203e-10 t=25055
ji chou 	记仇	c=0 d=0.0128735 t=25055
ji chou de 	记仇的	c=1 d=0.12938 t=25055
ji chu 	基础	c=9 d=0.147396 t=25055
ji ci 	几次	c=1 d=1.90923e-20 t=25055
ji da 	吉大	c=11 d=3.95029 t=25055
ji de 	记得	c=4 d=1.88724 t=25055
ji dian 	继电	c=2 d=0.132071 t=25055
ji dian 	绩点	c=1 d=1.10617 t=25055
ji du 	极度	c=1 d=0.486752 t=25055
ji fang 	机房	c=1 d=4.85992e-12 t=25055
ji fen zhong 	几分钟	c=1 d=1.75455e-26 t=25055
ji ge 	几个	c=11 d=1.26228 t=25055
ji ge yue 	几个月	c=1 d=0.869358 t=25055
ji hao 	极好	c=1 d=0.715338 t=25055
ji hao 	记号	c=1 d=4.87415e-17 t=25055
ji he 	几何	c=1 d=0.0352602 t=25055
ji he 	集合	c=4 d=0.0351272 t=25055
ji hen 	记恨	c=1 d=0.131336 t=25055
ji hu 	几乎	c=1 d=0.927743 t=25055
ji hua 	计划	c=2 d=0.453845 t=25055
ji hua tong 	寄话筒	c=1 d=0.444858 t=25055
ji huang 	饥荒	c=1 d=2.6256e-33 t=25055
ji hui 	机会	c=0 d=0.0460704 t=25055
ji hui he 	几回合	c=3 d=2.61574 t=25055
ji huo 	激活	c=1 d=3.78028e-27 t=25055
ji jin 	基金	c=0 d=1.76485e-37 t=25055
ji ke 	即可	c=2 d=0.856415 t=25055
ji ke 	计科	c=1 d=1.08476e-16 t=25055
ji kuai 	几块	c=0 d=2.54756e-32 t=25055
ji la 	寄啦	c=1 d=2.27669e-32 t=25055
ji le 	寄了	c=3 d=1.45245 t=25055
ji le 	急了	c=2 d=0.873716 t=25055
ji lie 	几列	c=1 d=6.86566e-18 t=25055
ji lin 	吉林	c=2 d=0.980199 t=25055
ji lin da xue 	吉林大学	c=3 d=0.193088 t=25055
ji liu yong tui 	激流勇退	c=1 d=0.308819 t=25055
ji lu 	记录	c=1 d=0.71177 t=25055
ji lu pian 	纪录片	c=1 d=1.83787e-13 t=25055
ji neng 	技能	c=4 d=0.680451 t=25055
ji ou 	奇偶	c=0 d=0.0946485 t=25055
ji qi 	机器	c=1 d=0.000699601 t=25055
ji ran 	既然	c=3 d=0.900325 t=25055
ji shan 	稷山	c=0 d=4.18083e-07 t=25055
ji shi 	即使	c=5 d=1.39836 t=25055
ji shi shi 	即使是	c=1 d=7.30286e-09 t=25055
ji shu 	奇数	c=1 d=9.16765e-08 t=25055
ji shu 	技术	c=3 d=0.372711 t=25055
ji shu fa 	计数法	c=1 d=2.41542e-22 t=25055
ji shu ge 	奇数个	c=1 d=2.146e-13 t=25055
ji si 	急死	c=1 d=3.58663e-26 t=25055
ji si 	祭司	c=1 d=7.00793e-24 t=25055
ji su 	激素	c=0 d=0.083527 t=25055
ji su a ji 	激素阿吉	c=1 d=0.839457 t=25055
ji suan 	计算	c=2 d=0.847894 t=25055
ji suan ji 	计算机	c=29 d=6.34094 t=25055
ji suan ji lou 	计算机楼	c=1 d=4.78756e-12 t=25055
ji tiao 	几条	c=1 d=0.88692 t=25055
ji wang 	计网	c=4 d=1.22936 t=25055
ji xian 	极限	c=1 d=7.98626e-32 t=25055
ji xiang 	吉祥	c=1 d=2.12501e-15 t=25055
ji xie 	机械	c=3 d=1.32171e-33 t=25055
ji xie jian pan 	机械键盘	c=1 d=1.21883e-34 t=25055
ji xu 	急需	c=1 d=2.61481e-14 t=25055
ji xu 	继续	c=3 d=0.0274607 t=25055
ji yan 	几眼	c=1 d=6.21971e-32 t=25055
ji yi 	记忆	c=5 d=0.282332 t=25055
ji yu 	基于	c=1 d=1.07211e-25 t=25055
ji zai 	记载	c=1 d=0.375311 t=25055
ji zhang 	几张	c=1 d=0.83527 t=25055
ji zhang 	几章	c=1 d=0.0137736 t=25055
ji zhong 	几种	c=1 d=0.882497 t=25055
ji zhu 	记住	c=1 d=1.05708e-06 t=25055
jia 	加	c=13 d=1.59992 t=25055
jia 	家	c=5 d=2.34287 t=25055
jia 	甲	c=1 d=3.08924e-05 t=25055
jia ao 	夹袄	c=1 d=7.99332e-13 t=25055
jia ba jin 	加把劲	c=1 d=0.496585 t=25055
jia che xiang 	加车厢	c=1 d=0.941765 t=25055
jia dao 	加到	c=1 d=2.60354e-22 t=25055
jia dian 	加点	c=1 d=0.965605 t=25055
jia ding 	假定	c=2 d=4.56797e-09 t=25055
jia hao 	加号	c=1 d=5.96567e-12 t=25055
jia huo 	假货	c=1 d=0.965605 t=25055
jia jian hao 	加减号	c=1 d=6.17816e-12 t=25055
jia kuai 	加块	c=2 d=0.519442 t=25055
jia kuai 	加快	c=1 d=0.522046 t=25055
jia li 	家里	c=1 d=1.08101e-34 t=25055
jia ma 	家吗	c=1 d=8.19122e-36 t=25055
jia mu 	贾母	c=0 d=6.58838e-34 t=25055
jia mu lu 	家目录	c=3 d=9.07952e-12 t=25055
jia mu lu 	贾母鹿	c=1 d=6.62141e-33 t=25055
jia ni 	加尼	c=1 d=0.548812 t=25055
jia nong 	加浓	c=1 d=1.3147e-13 t=25055
jia ru 	假如	c=4 d=1.11685 t=25055
jia ru 	加入	c=12 d=1.11014 t=25055
jia shang 	加上	c=7 d=1.49659 t=25055
jia she 	假设	c=2 d=3.94645e-06 t=25055
jia shen 	加深	c=1 d=0.540641 t=25055
jia su 	加速	c=5 d=2.05511 t=25055
jia you 	加油	c=2 d=1.91415e-22 t=25055
jia zai 	加载	c=2 d=2.19874e-36 t=25055
jia zhong 	加重	c=3 d=0.232082 t=25055
jia zhong 	家中	c=1 d=0.0235177 t=25055
jian 	减	c=1 d=0.839457 t=25055
jian 	建	c=1 d=1.31492e-15 t=25055
jian 	箭	c=1 d=0.00433948 t=25055
jian 	见	c=1 d=5.74463e-09 t=25055
jian 	键	c=7 d=0.773754 t=25055
jian bu 	见不	c=0 d=0.0150318 t=25055
jian bu zhao ren jia 	见不着人家	c=1 d=0.151072 t=25055
jian ce 	检测	c=1 d=7.04186e-22 t=25055
jian ce dao 	检测到	c=2 d=1.11241e-18 t=25055
jian cha 	检查	c=5 d=0.237338 t=25055
jian cha qi 	检查器	c=1 d=1.11317e-26 t=25055
jian dan 	简单	c=18 d=1.71236 t=25055
jian dan de 	简单地	c=1 d=3.93321e-23 t=25055
jian dan dian 	简单点	c=1 d=0.843665 t=25055
jian dan ti 	简单题	c=1 d=1.09433e-31 t=25055
jian guan 	监管	c=1 d=0.524663 t=25055
jian gui 	见鬼	c=0 d=0.0860708 t=25055
jian hao 	减号	c=2 d=6.02562e-12 t=25055
jian hua 	简化	c=3 d=0.726149 t=25055
jian hua ben 	简化本	c=1 d=9.69919e-24 t=25055
jian jian 	渐渐	c=0 d=1.74188e-30 t=25055
jian kang 	健康	c=1 d=1.0596e-34 t=25055
jian mo 	建模	c=3 d=0.746203 t=25055
jian nan 	艰难	c=1 d=0.97531 t=25055
jian pan 	键盘	c=3 d=1.32834e-33 t=25055
jian rong xing 	兼容性	c=1 d=0.000122182 t=25055
jian sa 	溅洒	c=0 d=2.32434e-12 t=25055
jian sa hou 	溅洒后	c=1 d=2.33599e-11 t=25055
jian shang 	鉴赏	c=2 d=0.74196 t=25055
jian shao 	减少	c=3 d=2.66115e-10 t=25055
jian su 	减速	c=2 d=0.59345 t=25055
jian tie ban 	剪贴板	c=1 d=3.16745e-05 t=25055
jian xie 	简写	c=1 d=7.30037e-05 t=25055
jian yi 	建议	c=3 d=0.0113181 t=25055
jian zhi shi 	简直是	c=1 d=1.25079e-15 t=25055
jiang 	将	c=5 d=0.000622131 t=25055
jiang 	讲	c=4 d=0.000620491 t=25055
jiang di 	降低	c=1 d=6.23687e-35 t=25055
jiang dong 	江东	c=1 d=0.888822 t=25055
jiang dong xing 	江东行	c=1 d=0.283654 t=25055
jiang gu shi 	讲故事	c=1 d=6.22732e-17 t=25055
jiang jia 	降价	c=1 d=8.05007e-08 t=25055
jiang jie 	讲解	c=3 d=0.207374 t=25055
jiang jun 	将军	c=1 d=1.9488e-26 t=25055
jiang ke 	讲课	c=1 d=0.207008 t=25055
jiang lai 	将来	c=4 d=1.1891 t=25055
jiang qi 	将其	c=1 d=7.02487e-19 t=25055
jiang wang zhi 	将亡值	c=6 d=0.000286431 t=25055
jiang wei 	姜维	c=1 d=0.904837 t=25055
jiang zi 	将自	c=1 d=1.47032e-35 t=25055
jiang zi 	酱紫	c=2 d=1.4032 t=25055
jiao 	交	c=8 d=2.16053 t=25055
jiao 	叫	c=3 d=1.68275e-29 t=25055
jiao 	焦	c=7 d=0.000256085 t=25055
jiao ao 	骄傲	c=2 d=1.43211e-12 t=25055
jiao ben 	脚本	c=1 d=0.0071546 t=25055
jiao cai 	教材	c=1 d=5.25377e-17 t=25055
jiao cheng 	教程	c=10 d=1.08906 t=25055
jiao du 	角度	c=1 d=1.5298e-31 t=25055
jiao gao 	较高	c=1 d=8.71877e-35 t=25055
jiao guo lai 	叫过来	c=1 d=0.704688 t=25055
jiao hu 	交互	c=0 d=0.0729789 t=25055
jiao huan 	交换	c=6 d=5.13146e-10 t=25055
jiao hui 	教会	c=1 d=7.96564e-31 t=25055
jiao jiao wo 	教教我	c=1 d=1.77279e-30 t=25055
jiao lao 	较老	c=0 d=0.0995012 t=25055
jiao liu 	交流	c=2 d=1.03471e-07 t=25055
jiao luo 	角落	c=1 d=2.33472e-34 t=25055
jiao lv 	焦虑	c=4 d=0.75958 t=25055
jiao sha 	叫啥	c=1 d=1 t=25055
jiao shen me 	叫什么	c=1 d=0.0112206 t=25055
jiao su 	酵素	c=1 d=0.67368 t=25055
jiao wo 	教我	c=2 d=3.36846e-23 t=25055
jiao yan 	校验	c=0 d=0.099005 t=25055
jiao yu 	教育	c=1 d=4.6789e-36 t=25055
jiao zuo 	叫做	c=3 d=0.138079 t=25055
jie 	借	c=1 d=1.52274e-06 t=25055
jie 	姐	c=2 d=0.302704 t=25055
jie 	戒	c=1 d=2.19539e-16 t=25055
jie 	接	c=6 d=2.43202 t=25055
jie 	节	c=0 d=1.09678e-29 t=25055
jie 	解	c=0 d=3.60779e-08 t=25055
jie chu 	解除	c=1 d=0.506617 t=25055
jie dao 	接到	c=0 d=8.22948e-33 t=25055
